sample,sample
TCGA-AQ-A54O-01Z,TCGA-AQ-A54O-01Z
TCGA-AQ-A54O-10A,TCGA-AQ-A54O-10A
TCGA-AQ-A54O-01A,TCGA-AQ-A54O-01A
TCGA-BH-A0DD-01Z,TCGA-BH-A0DD-01Z
TCGA-BH-A0DD-01A,TCGA-BH-A0DD-01A
TCGA-BH-A0DD-11A,TCGA-BH-A0DD-11A
TCGA-BH-A0DD-10A,TCGA-BH-A0DD-10A
TCGA-A8-A085-01Z,TCGA-A8-A085-01Z
TCGA-A8-A085-01A,TCGA-A8-A085-01A
TCGA-A8-A085-10A,TCGA-A8-A085-10A
TCGA-AC-A5EI-01Z,TCGA-AC-A5EI-01Z
TCGA-AC-A5EI-01A,TCGA-AC-A5EI-01A
TCGA-AC-A5EI-10A,TCGA-AC-A5EI-10A
TCGA-D8-A1XS-01Z,TCGA-D8-A1XS-01Z
TCGA-D8-A1XS-10A,TCGA-D8-A1XS-10A
TCGA-D8-A1XS-01A,TCGA-D8-A1XS-01A
TCGA-AO-A1KQ-01Z,TCGA-AO-A1KQ-01Z
TCGA-AO-A1KQ-10A,TCGA-AO-A1KQ-10A
TCGA-AO-A1KQ-01A,TCGA-AO-A1KQ-01A
TCGA-A1-A0SM-01A,TCGA-A1-A0SM-01A
TCGA-A1-A0SM-10A,TCGA-A1-A0SM-10A
TCGA-A1-A0SM-01Z,TCGA-A1-A0SM-01Z
TCGA-BH-A0B4-01A,TCGA-BH-A0B4-01A
TCGA-BH-A0B4-01Z,TCGA-BH-A0B4-01Z
TCGA-BH-A0B4-10A,TCGA-BH-A0B4-10A
TCGA-AC-A62V-01Z,TCGA-AC-A62V-01Z
TCGA-AC-A62V-01A,TCGA-AC-A62V-01A
TCGA-AC-A62V-10A,TCGA-AC-A62V-10A
TCGA-EW-A6SA-01A,TCGA-EW-A6SA-01A
TCGA-EW-A6SA-10A,TCGA-EW-A6SA-10A
TCGA-EW-A6SA-01Z,TCGA-EW-A6SA-01Z
TCGA-C8-A9FZ-01Z,TCGA-C8-A9FZ-01Z
TCGA-C8-A9FZ-01A,TCGA-C8-A9FZ-01A
TCGA-C8-A9FZ-10A,TCGA-C8-A9FZ-10A
TCGA-E2-A14W-01Z,TCGA-E2-A14W-01Z
TCGA-E2-A14W-01A,TCGA-E2-A14W-01A
TCGA-E2-A14W-10A,TCGA-E2-A14W-10A
TCGA-EW-A1PD-01Z,TCGA-EW-A1PD-01Z
TCGA-EW-A1PD-01A,TCGA-EW-A1PD-01A
TCGA-EW-A1PD-10A,TCGA-EW-A1PD-10A
TCGA-AR-A1AV-01A,TCGA-AR-A1AV-01A
TCGA-AR-A1AV-01Z,TCGA-AR-A1AV-01Z
TCGA-AR-A1AV-10A,TCGA-AR-A1AV-10A
